YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1988,-1.59,-1.08,3.98,10.59,17.05,21.49,24.28,26.21,21.62,15.29,6.50,0.78,-0.38,10.54,23.99,14.47,12.15
1989,0.75,2.66,5.76,13.23,16.88,20.68,24.40,25.47,20.82,14.07,7.79,1.82,1.40,11.96,23.52,14.23,12.77
1990,-2.91,2.31,6.88,10.84,15.59,20.05,24.55,26.26,21.16,15.79,10.16,1.39,0.41,11.10,23.62,15.70,12.71
1991,-2.15,-0.58,4.57,12.37,16.70,21.42,24.06,25.03,21.09,14.48,6.73,2.43,-0.45,11.21,23.50,14.10,12.09
1992,0.01,0.93,7.09,11.39,15.59,19.83,24.31,24.96,20.82,14.47,6.97,1.75,1.12,11.36,23.03,14.09,12.40
1993,-1.91,0.96,5.55,9.76,17.15,20.48,22.99,23.33,21.37,13.75,8.85,0.34,0.27,10.82,22.27,14.66,12.00
1994,-0.84,0.76,3.91,14.09,17.11,21.60,27.76,27.62,21.24,15.88,9.35,1.34,0.09,11.70,25.66,15.49,13.23
1995,-1.64,1.26,5.65,10.55,16.05,21.11,24.16,26.28,20.46,15.73,7.10,-0.27,0.32,10.75,23.85,14.43,12.34
1996,-1.67,-1.35,4.57,9.26,16.77,21.43,24.14,26.28,22.10,14.92,6.70,2.09,-1.10,10.20,23.95,14.57,11.91
1997,-2.84,0.40,6.31,11.95,16.45,22.54,25.65,26.84,20.54,13.74,9.01,2.02,-0.12,11.57,25.01,14.43,12.72
1998,-0.77,3.18,6.92,14.59,18.23,21.20,24.71,25.62,23.32,17.58,7.88,2.69,1.48,13.25,23.84,16.26,13.71
1999,-0.28,1.09,6.28,13.13,16.85,22.14,25.50,26.07,22.89,14.68,8.62,1.06,1.17,12.09,24.57,15.40,13.30
2000,-2.71,-1.50,6.06,11.59,16.55,22.46,26.24,26.39,21.44,15.42,7.37,0.96,-1.05,11.40,25.03,14.74,12.53
2001,-4.28,-0.49,5.03,12.80,18.50,22.25,25.52,26.52,999.90,999.90,7.84,-0.17,-1.27,12.11,24.76,999.90,12.74
2002,0.64,2.74,7.84,999.90,17.76,20.94,24.35,23.60,999.90,14.57,3.90,1.18,1.07,12.98,22.96,12.55,12.39
2003,-2.97,2.84,5.43,12.75,17.35,20.44,23.05,24.08,21.70,15.88,9.34,1.22,0.35,11.84,22.52,15.64,12.59
2004,-1.22,2.92,6.76,12.17,16.21,21.98,23.67,25.36,21.52,16.09,9.43,2.39,0.97,11.71,23.67,15.68,13.01
2005,-0.49,-0.62,6.12,14.20,18.63,22.64,24.27,25.84,22.45,15.39,9.44,-3.08,0.43,12.98,24.25,15.76,13.35
2006,-0.33,-0.05,5.70,11.63,18.07,20.29,22.46,26.86,21.92,18.64,8.99,2.32,-1.15,11.80,23.20,16.52,12.59
2007,1.06,4.40,6.21,11.66,16.64,22.18,23.05,25.92,21.95,15.59,7.89,2.56,2.59,11.50,23.72,15.14,13.24
2008,-1.42,-0.26,7.81,14.06,17.20,21.23,24.60,25.15,22.32,17.16,8.81,2.02,0.29,13.02,23.66,16.10,13.27
2009,-0.84,3.05,6.40,12.26,17.95,21.53,23.87,25.48,21.69,16.30,7.60,0.10,1.41,12.20,23.63,15.20,13.11
2010,-3.20,1.70,5.10,9.60,16.10,21.90,24.70,26.10,22.10,15.10,7.70,0.10,-0.47,10.27,24.23,14.97,12.25
2011,-5.60,1.40,4.20,10.00,16.80,20.00,23.90,25.00,21.70,14.80,11.40,0.40,-1.37,10.33,22.97,15.97,11.97
2012,-1.90,-1.20,5.20,11.70,18.10,22.90,24.50,26.70,21.00,15.60,6.10,-3.70,-0.90,11.67,24.70,14.23,12.43
2013,-2.90,-1.40,4.10,8.90,16.00,22.20,24.10,26.90,21.50,15.90,6.80,0.40,-2.67,9.67,24.40,14.73,11.53
2014,-0.30,1.40,7.00,12.30,16.90,21.80,24.80,24.50,22.00,15.90,9.20,-2.10,0.50,12.07,23.70,15.70,12.99
2015,-0.80,1.60,5.20,12.50,17.00,22.20,24.95,26.25,22.65,16.15,9.60,2.50,-0.43,11.57,24.47,16.13,12.93
2016,-2.00,1.05,6.75,13.35,18.70,22.40,25.55,27.75,23.25,16.35,7.50,2.20,0.52,12.93,25.23,15.70,13.60
2017,-0.65,0.40,6.40,12.95,18.15,22.10,26.20,25.70,22.00,16.00,6.10,-1.30,0.65,12.50,24.67,14.70,13.13
2018,-3.60,-1.60,7.30,12.25,17.20,21.70,26.95,28.35,21.75,14.05,8.70,-0.05,-2.17,12.25,25.67,14.83,12.65
2019,-0.25,1.15,6.85,11.75,18.05,21.75,25.25,27.15,22.75,16.90,8.35,1.90,0.28,12.22,24.72,16.00,13.30
2020,2.10,2.80,7.25,10.70,17.10,22.25,23.50,26.15,21.55,14.75,8.45,0.30,2.27,11.68,23.97,14.92,13.21
2021,-2.05,2.15,8.25,13.45,16.45,21.95,27.50,25.75,22.85,16.05,8.95,1.40,0.13,12.72,25.07,15.95,13.47
2022,-1.95,-1.05,7.05,13.35,17.45,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-0.53,12.62,999.90,999.90,999.90
